epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10094.1,1.18834,0.8577,1.28631,0.80385,0.83152,0.85075,0.56679,1.21489,0.74386,1.33665,0.00492625,0.00492625,0.00492625
43,10333.8,1.1833,0.85102,1.28331,0.7899,0.84325,0.84885,0.56711,1.21503,0.74357,1.33706,0.0048025,0.0048025,0.0048025
44,10573.9,1.17883,0.85135,1.27824,0.7902,0.8442,0.84565,0.56733,1.21386,0.74218,1.33674,0.00467875,0.00467875,0.00467875
45,10814.4,1.18053,0.84123,1.2777,0.79682,0.83681,0.84693,0.56691,1.21326,0.74003,1.33593,0.004555,0.004555,0.004555
46,11055.4,1.16929,0.8356,1.27226,0.79585,0.83619,0.84584,0.56635,1.21357,0.73918,1.33562,0.00443125,0.00443125,0.00443125
47,11295.5,1.1675,0.82557,1.26816,0.80284,0.83478,0.84564,0.56604,1.21265,0.73932,1.33528,0.0043075,0.0043075,0.0043075
48,11536.5,1.16178,0.81583,1.26264,0.80329,0.83348,0.84506,0.56633,1.21298,0.73879,1.33504,0.00418375,0.00418375,0.00418375
49,11777.6,1.15768,0.81792,1.26326,0.80427,0.83134,0.84396,0.56565,1.2136,0.73828,1.33524,0.00406,0.00406,0.00406
50,12020.4,1.15562,0.81733,1.26071,0.80635,0.83293,0.84416,0.56582,1.21247,0.73635,1.33431,0.00393625,0.00393625,0.00393625
51,12261.1,1.14636,0.81161,1.25902,0.805,0.83388,0.84355,0.56642,1.21183,0.73485,1.33361,0.0038125,0.0038125,0.0038125
52,12501.9,1.146,0.803,1.25273,0.80388,0.83276,0.84382,0.5666,1.21094,0.73373,1.33265,0.00368875,0.00368875,0.00368875
53,12742.6,1.13748,0.79579,1.24967,0.80267,0.83489,0.84342,0.56703,1.21099,0.73305,1.33219,0.003565,0.003565,0.003565
54,12983.4,1.13186,0.79188,1.24405,0.80489,0.83214,0.84322,0.56735,1.2105,0.73248,1.33191,0.00344125,0.00344125,0.00344125
55,13224.4,1.1255,0.781,1.24361,0.8039,0.83203,0.84307,0.56697,1.21025,0.73277,1.33174,0.0033175,0.0033175,0.0033175
56,13463.8,1.12659,0.77967,1.24405,0.8029,0.83128,0.84222,0.56704,1.2106,0.73205,1.33171,0.00319375,0.00319375,0.00319375
57,13704,1.12489,0.78474,1.23895,0.80542,0.83224,0.84432,0.56776,1.21052,0.73091,1.33153,0.00307,0.00307,0.00307
58,13943.4,1.11488,0.77475,1.23922,0.80447,0.8321,0.84454,0.56773,1.21065,0.72968,1.33173,0.00294625,0.00294625,0.00294625
59,14183,1.11419,0.76834,1.23636,0.80391,0.83089,0.84484,0.56713,1.21086,0.72907,1.3317,0.0028225,0.0028225,0.0028225
60,14422.2,1.10815,0.75741,1.23091,0.80929,0.82217,0.8442,0.56777,1.21077,0.72942,1.33164,0.00269875,0.00269875,0.00269875
61,14663.2,1.10024,0.75489,1.22802,0.80978,0.82134,0.84421,0.56817,1.21023,0.72928,1.33112,0.002575,0.002575,0.002575
62,14901.5,1.09278,0.75126,1.22495,0.81452,0.82067,0.84525,0.5683,1.21037,0.72887,1.33101,0.00245125,0.00245125,0.00245125
63,15140.4,1.08957,0.74343,1.22243,0.81715,0.81989,0.846,0.56867,1.21066,0.72803,1.331,0.0023275,0.0023275,0.0023275
64,15381.1,1.08098,0.73342,1.21665,0.81588,0.81799,0.84533,0.56885,1.21058,0.72716,1.33098,0.00220375,0.00220375,0.00220375
65,15623.9,1.07888,0.73268,1.21456,0.81424,0.81731,0.84549,0.56891,1.2099,0.72637,1.33083,0.00208,0.00208,0.00208
66,15865.4,1.07845,0.7369,1.21891,0.81546,0.81621,0.84541,0.56878,1.20926,0.72559,1.33049,0.00195625,0.00195625,0.00195625
67,16106.6,1.06997,0.72862,1.2118,0.81571,0.81561,0.8455,0.56849,1.20898,0.72461,1.33035,0.0018325,0.0018325,0.0018325
68,16347,1.06271,0.71369,1.20628,0.82007,0.81384,0.84688,0.56836,1.20883,0.72421,1.33037,0.00170875,0.00170875,0.00170875
69,16586.3,1.05968,0.71507,1.201,0.8167,0.81519,0.84766,0.56924,1.20907,0.72353,1.3306,0.001585,0.001585,0.001585
70,16825.8,1.0609,0.71126,1.20511,0.81629,0.81486,0.84621,0.5684,1.20896,0.72295,1.33057,0.00146125,0.00146125,0.00146125
71,17062.3,1.00047,0.55964,1.20918,0.81755,0.81545,0.84748,0.56893,1.20906,0.72193,1.33075,0.0013375,0.0013375,0.0013375
72,17297.5,0.98776,0.54407,1.19823,0.81839,0.81549,0.8495,0.57045,1.20856,0.72069,1.33069,0.00121375,0.00121375,0.00121375
73,17533,0.97698,0.53705,1.19746,0.81957,0.81674,0.85041,0.57047,1.20879,0.71924,1.33149,0.00109,0.00109,0.00109
74,17768.8,0.96579,0.5275,1.19043,0.81172,0.82148,0.85027,0.57051,1.20897,0.71771,1.332,0.00096625,0.00096625,0.00096625
75,18005,0.95787,0.52077,1.18292,0.81994,0.81864,0.8513,0.57051,1.20892,0.7166,1.3323,0.0008425,0.0008425,0.0008425
76,18241.2,0.95082,0.51006,1.18041,0.81467,0.82621,0.85117,0.57107,1.20888,0.71544,1.33263,0.00071875,0.00071875,0.00071875
77,18477.2,0.94517,0.50684,1.17967,0.81811,0.82519,0.85127,0.57195,1.2092,0.7147,1.33308,0.000595,0.000595,0.000595
78,18713.2,0.93172,0.50094,1.16924,0.81712,0.82234,0.84839,0.57192,1.20922,0.71421,1.33353,0.00047125,0.00047125,0.00047125
79,18949.3,0.92698,0.49774,1.1647,0.81873,0.82235,0.84811,0.57263,1.20907,0.71344,1.3338,0.0003475,0.0003475,0.0003475
80,19185.8,0.92055,0.49149,1.16378,0.81982,0.82142,0.84852,0.5733,1.20958,0.71274,1.33426,0.00022375,0.00022375,0.00022375
