epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2413.66,1.34977,0.98632,1.35086,0.7581,0.68068,0.72946,0.3763,1.88665,1.29837,2.02157,0.000821206,0.000821206,0.000821206
43,2469.82,1.3314,0.97785,1.34589,0.82261,0.63984,0.73275,0.38789,1.8723,1.19305,2.06235,0.000800577,0.000800577,0.000800577
44,2525.46,1.33603,0.97416,1.35393,0.8092,0.64582,0.73181,0.38533,1.84618,1.31795,2.00485,0.000779948,0.000779948,0.000779948
45,2580.97,1.33057,0.95985,1.34676,0.83013,0.62812,0.73222,0.39934,1.84767,1.24601,2.03151,0.000759318,0.000759318,0.000759318
46,2637.67,1.3173,0.93573,1.33264,0.74269,0.66559,0.72302,0.38016,1.88692,1.2901,2.05279,0.000738689,0.000738689,0.000738689
47,2694.25,1.30219,0.92034,1.31549,0.79984,0.65345,0.7246,0.38771,1.89121,1.31423,2.08722,0.00071806,0.00071806,0.00071806
48,2749.48,1.30697,0.93976,1.32738,0.77491,0.6777,0.70803,0.37184,1.89029,1.16648,2.12715,0.000697431,0.000697431,0.000697431
49,2804.81,1.28767,0.89912,1.30834,0.83089,0.66498,0.73585,0.38402,1.87639,1.19809,2.09622,0.000676802,0.000676802,0.000676802
50,2860.87,1.2767,0.89681,1.30882,0.8558,0.6664,0.755,0.39585,1.82819,1.18366,2.03837,0.000656173,0.000656173,0.000656173
51,2917.75,1.28704,0.91536,1.31148,0.81499,0.65844,0.74658,0.39444,1.84737,1.19115,2.06259,0.000635544,0.000635544,0.000635544
52,2973.14,1.27456,0.9021,1.30694,0.8384,0.66814,0.75768,0.4083,1.84709,1.12237,2.02706,0.000614915,0.000614915,0.000614915
53,3029.36,1.2542,0.8724,1.30153,0.7786,0.69184,0.75341,0.39162,1.88539,1.16971,2.07033,0.000594286,0.000594286,0.000594286
54,3084.67,1.26108,0.87675,1.29155,0.81353,0.68693,0.75995,0.40529,1.86201,1.14394,2.07141,0.000573656,0.000573656,0.000573656
55,3140.14,1.22807,0.83569,1.27302,0.81289,0.66395,0.7451,0.40093,1.84858,1.18046,2.03522,0.000553027,0.000553027,0.000553027
56,3197.22,1.24395,0.8562,1.28168,0.80273,0.68066,0.73952,0.397,1.87084,1.16216,2.07636,0.000532398,0.000532398,0.000532398
57,3252.99,1.2307,0.84416,1.27728,0.75139,0.71394,0.75674,0.3994,1.85324,1.17371,2.05468,0.000511769,0.000511769,0.000511769
58,3307.73,1.20677,0.82719,1.26457,0.7661,0.68917,0.73216,0.39326,1.90942,1.20961,2.14507,0.00049114,0.00049114,0.00049114
59,3362.85,1.20831,0.81771,1.2633,0.732,0.73567,0.75479,0.39462,1.90197,1.16299,2.11561,0.000470511,0.000470511,0.000470511
60,3420.41,1.20315,0.81662,1.26683,0.79321,0.68098,0.74906,0.41093,1.84298,1.11099,2.09628,0.000449882,0.000449882,0.000449882
61,3475.45,1.21854,0.82035,1.26544,0.79352,0.68958,0.74978,0.4042,1.86567,1.12053,2.10117,0.000429253,0.000429253,0.000429253
62,3530.94,1.19896,0.80478,1.25504,0.7646,0.73156,0.76402,0.40709,1.84424,1.12893,2.09954,0.000408623,0.000408623,0.000408623
63,3588.46,1.19007,0.81261,1.25245,0.80737,0.68336,0.74758,0.40432,1.86788,1.13029,2.14968,0.000387994,0.000387994,0.000387994
64,3644.74,1.18312,0.79299,1.25101,0.83831,0.68272,0.77056,0.41325,1.86456,1.11196,2.10313,0.000367365,0.000367365,0.000367365
65,3703.15,1.18277,0.78404,1.24818,0.8076,0.70565,0.76426,0.4092,1.85694,1.11616,2.11293,0.000346736,0.000346736,0.000346736
66,3760.91,1.17328,0.77861,1.24238,0.75667,0.71029,0.74985,0.40222,1.8428,1.19032,2.07688,0.000326107,0.000326107,0.000326107
67,3818.17,1.15245,0.77508,1.23183,0.77249,0.71598,0.7566,0.40144,1.88076,1.15818,2.1467,0.000305478,0.000305478,0.000305478
68,3876.04,1.16333,0.76673,1.23292,0.7323,0.72731,0.75588,0.40391,1.86656,1.11829,2.14071,0.000284849,0.000284849,0.000284849
69,3934.08,1.15176,0.77803,1.23237,0.8069,0.69566,0.76168,0.41605,1.84323,1.12742,2.10413,0.00026422,0.00026422,0.00026422
70,3991.37,1.13897,0.7546,1.22241,0.82191,0.68282,0.75834,0.41379,1.83465,1.14344,2.0873,0.00024359,0.00024359,0.00024359
71,4047.47,1.12933,0.60133,1.22627,0.76351,0.69209,0.74541,0.40221,1.8848,1.11282,2.12939,0.000222961,0.000222961,0.000222961
72,4101.57,1.08831,0.57564,1.19775,0.81686,0.69955,0.76761,0.41354,1.85458,1.05446,2.14782,0.000202332,0.000202332,0.000202332
73,4156.55,1.08336,0.57764,1.20475,0.79994,0.70015,0.75833,0.41272,1.85154,1.11391,2.11386,0.000181703,0.000181703,0.000181703
74,4209.94,1.07223,0.56916,1.19875,0.79821,0.71453,0.76616,0.41249,1.86037,1.09785,2.14256,0.000161074,0.000161074,0.000161074
75,4263.26,1.0574,0.56178,1.18141,0.77544,0.71164,0.75569,0.41663,1.84772,1.10185,2.11972,0.000140445,0.000140445,0.000140445
76,4316.71,1.05241,0.54606,1.17529,0.81897,0.71639,0.77574,0.42071,1.84077,1.09018,2.14359,0.000119816,0.000119816,0.000119816
77,4369.89,1.0452,0.54444,1.17424,0.82035,0.70603,0.77501,0.42372,1.83216,1.08561,2.13673,9.91865e-05,9.91865e-05,9.91865e-05
78,4423.9,1.03535,0.53742,1.17002,0.79444,0.71165,0.76799,0.41912,1.83374,1.09526,2.15431,7.85574e-05,7.85574e-05,7.85574e-05
79,4476.82,1.03071,0.53739,1.16765,0.76205,0.72982,0.76438,0.41889,1.84622,1.09292,2.1563,5.79283e-05,5.79283e-05,5.79283e-05
80,4529.79,1.03517,0.54288,1.16598,0.81112,0.70236,0.77184,0.41782,1.84389,1.08906,2.15774,3.72991e-05,3.72991e-05,3.72991e-05
